,SN,0,1,2
428,SDSS-II SN 4330,-5.229683,-1.667109,9.7741995
429,SDSS-II SN 4375,-4.9042916,-0.31976846,-16.91879
430,SDSS-II SN 4534,-5.4522443,-2.9582567,13.094478
431,SDSS-II SN 4606,-3.4337647,-2.609623,6.565557
432,SDSS-II SN 4888,1.9357564,-5.4321146,2.350333
433,SDSS-II SN 4906,-3.9471009,0.883623,9.532558
434,SDSS-II SN 4907,-3.977727,2.2037435,13.413751
435,SDSS-II SN 4966,-2.832188,2.695279,11.126634
436,SDSS-II SN 4978,9.2273,8.9045925,3.4241292
437,SDSS-II SN 5001,0.48370832,-0.8978687,1.3341902
438,SDSS-II SN 5235,-4.7043986,2.6484046,12.960293
439,SDSS-II SN 5401,4.9624977,6.5469456,3.4838996
440,SDSS-II SN 5468,5.0501413,5.063844,1.7858514
441,SDSS-II SN 5498,-0.9232706,2.7686322,4.447992
442,SDSS-II SN 5590,-4.146383,-1.8585646,5.984761
443,SDSS-II SN 5607,3.7123077,-1.053808,2.591379
444,SDSS-II SN 5810,-5.6892734,-3.8835595,2.6944873
445,SDSS-II SN 5890,2.2308052,3.3658016,5.9358525
446,SDSS-II SN 5959,3.1165588,-1.1726595,-0.07795899
447,SDSS-II SN 5963,3.9836552,9.360312,7.5490646
448,SDSS-II SN 6055,3.1240196,7.448472,3.0830867
449,SDSS-II SN 6289,5.8294196,6.387893,4.234262
450,SDSS-II SN 6327,-2.1228876,-1.8330145,4.1304703
451,SDSS-II SN 6556,8.007628,10.429915,5.9539886
452,SDSS-II SN 6560,5.5604258,6.5715446,4.2911143
