,SN,0,1,2,3,4
222,SDSS-II SN 13487,-0.03171093,2.822809,-3.0437644,3.0580237,1.4130071
223,SDSS-II SN 13492,1.9588205,-4.514555,-3.8807645,1.3331522,-3.4951982
224,SDSS-II SN 13529,0.08369174,-1.5690386,-1.8824258,-0.80503476,2.2846417
225,SDSS-II SN 13554,1.4809185,1.2300634,-0.3743564,1.1291655,3.1384559
226,SDSS-II SN 13644,0.49738258,1.3330158,-3.6577318,-0.51481646,0.31535202
227,SDSS-II SN 13646,0.84699136,1.2300406,-2.1355937,-0.40612713,-0.46464244
228,SDSS-II SN 13675,1.7006003,-4.4832773,-2.024063,0.24295218,-1.618207
229,SDSS-II SN 13699,2.7817926,-2.278873,1.1515673,0.9034168,1.4644132
230,SDSS-II SN 13725,0.8955479,0.854541,-1.6337656,1.2174286,4.0909996
231,SDSS-II SN 13803,3.4974267,-4.3390894,-0.4955823,1.5594308,-0.52221495
232,SDSS-II SN 13813,0.8539474,-1.0123211,-0.6914244,0.41179612,4.600267
233,SDSS-II SN 13833,0.4934312,1.855264,-2.1327963,6.4338346,4.4734616
234,SDSS-II SN 13843,1.1302161,-0.077719815,0.27887973,1.4960393,4.337063
235,SDSS-II SN 13864,0.1519473,0.39983997,-2.2585573,0.22659715,2.9897406
236,SDSS-II SN 13931,-0.056552168,2.537914,-2.912024,4.3042603,3.328769
237,SDSS-II SN 1395,1.9069389,-0.34209824,-1.6827292,-1.4943562,-0.20689975
238,SDSS-II SN 14054,2.3935812,-0.723602,-1.4041898,-0.7321076,-1.6575156
239,SDSS-II SN 14081,0.8999998,0.53830576,-1.4953414,0.9942206,4.1304865
240,SDSS-II SN 14113,0.86708766,-2.6835868,-4.883979,1.0556341,-4.171329
241,SDSS-II SN 14258,0.59417367,0.9153077,-1.605066,-0.24438007,1.2898123
242,SDSS-II SN 14260,1.1591417,-3.6140997,-4.8182135,1.2732726,-3.8545778
243,SDSS-II SN 14311,-0.9398698,-0.7751583,5.8094506,1.4054636,0.88643765
244,SDSS-II SN 14347,-0.0716583,-3.0022726,-1.5808139,0.352563,-1.7490095
245,SDSS-II SN 14361,-0.0668861,2.4139907,-4.7606764,3.6880875,2.066438
246,SDSS-II SN 14375,0.8948385,-4.112438,-1.9983279,-0.60372144,-0.6076524
247,SDSS-II SN 14400,1.1817604,-3.938042,-4.4781165,0.9363459,-3.4857235
248,SDSS-II SN 14429,-0.14885196,2.082818,-3.3695893,3.1216047,3.0770574
249,SDSS-II SN 14453,1.0706228,2.4554396,-0.40996757,4.9094377,3.9110415
250,SDSS-II SN 14467,1.8792847,-4.6270766,-2.9361985,0.54441214,-2.6913233
251,SDSS-II SN 14493,2.2756588,0.22594987,2.4755812,1.901426,1.5416584
252,SDSS-II SN 14498,3.3538642,-3.9974022,-0.7170588,1.0391383,-1.4188057
253,SDSS-II SN 14505,2.8857846,-3.3788831,-1.5546722,0.15287873,-3.0264196
254,SDSS-II SN 14528,-0.14035407,2.323199,-3.3425598,3.135475,2.6811502
255,SDSS-II SN 14617,1.2266105,-4.627068,-3.1769347,0.2351816,-2.074869
256,SDSS-II SN 1465,1.4017195,1.8657392,-1.046786,1.1363176,2.7651105
257,SDSS-II SN 1470,2.5551124,-3.6998155,-2.2810352,0.2081397,-3.4890723
258,SDSS-II SN 14821,-0.072115585,2.6397393,-2.8813257,3.3247123,2.4937153
259,SDSS-II SN 14964,3.1660767,-1.0208308,1.126034,0.293282,-0.3494467
260,SDSS-II SN 1500,1.1623116,-3.1462886,-2.913061,-0.89115006,-2.856625
261,SDSS-II SN 15046,0.29966784,2.0275955,-1.2327634,4.5483994,4.50858
262,SDSS-II SN 15055,0.09366664,-2.5331273,-1.7086946,-0.053958386,-1.8732507
263,SDSS-II SN 15160,2.214211,-4.542536,-2.7583833,0.69379765,-2.9259944
264,SDSS-II SN 15198,-0.4925952,1.5250857,-3.3719192,1.5035845,1.029945
265,SDSS-II SN 15239,2.5174096,-5.512886,-1.7961774,1.7414731,-0.33578572
266,SDSS-II SN 15272,2.753192,-0.27072105,4.0145144,2.6565905,3.588101
267,SDSS-II SN 15289,2.7349002,-4.6869884,-1.489296,0.9585942,-1.7061188
268,SDSS-II SN 15309,-0.10886637,2.021016,-3.7119935,4.251239,3.5154643
269,SDSS-II SN 1535,1.2721779,-3.5841274,-4.89976,1.5102761,-4.121543
270,SDSS-II SN 15417,1.3103144,-1.003826,-0.34882984,-0.17829917,2.5176272
271,SDSS-II SN 15539,0.0065311408,-3.3498414,-1.211104,0.7263258,-1.4414874
272,SDSS-II SN 15587,0.7237713,0.7735704,-2.7792897,0.0043025534,-3.99684
273,SDSS-II SN 15751,1.3481922,1.1622956,-0.77222383,1.4873316,3.8443284
274,SDSS-II SN 15793,0.03344954,1.55497,-2.7973325,2.3557901,3.7491899
275,SDSS-II SN 15903,-7.254331,33.53734,22.505655,39.246037,72.74692
276,SDSS-II SN 15914,1.8148538,0.7089977,0.7521187,0.67778474,0.8056453
277,SDSS-II SN 15944,0.9577733,0.809091,-1.509637,0.8545707,3.7385662
278,SDSS-II SN 16091,0.95877826,-0.8119901,-3.373618,-0.4965374,-3.7021196
279,SDSS-II SN 1622,1.1058412,-2.9165592,-2.9254527,-1.0361588,-2.9419982
280,SDSS-II SN 16412,2.2318978,1.365126,0.26685286,0.6198112,-1.2176067
281,SDSS-II SN 16436,3.3909392,1.2989055,2.7235713,2.1357164,0.09057972
282,SDSS-II SN 16455,2.5725317,-4.9579906,-2.5678954,1.318666,-2.5692413
283,SDSS-II SN 16582,0.27032503,2.1719534,-1.3621142,4.010638,4.3568916
284,SDSS-II SN 16768,3.421331,-4.0389357,-1.0613433,0.9705505,-2.2615852
285,SDSS-II SN 16838,0.81260765,0.5563717,-3.2780728,-1.1411834,-1.2199874
286,SDSS-II SN 16977,2.6566854,-4.837158,-1.3763005,1.1396202,-1.0193319
287,SDSS-II SN 17219,0.41598487,-0.88943964,-4.528953,0.3487844,-3.0968852
288,SDSS-II SN 17303,0.8898643,-3.6999185,-4.328646,0.40661937,-3.1934958
289,SDSS-II SN 17330,0.18097942,-2.0484602,-1.9234542,-1.1494391,1.695049
290,SDSS-II SN 17396,2.85287,-3.5769963,-1.484106,0.22707082,-2.7524943
291,SDSS-II SN 17422,-0.6230341,0.842962,-1.0525261,-1.6094438,3.4860973
292,SDSS-II SN 17465,0.9424254,1.5138912,-1.3983314,0.42923862,2.1590815
293,SDSS-II SN 17466,1.8154343,-2.44762,-3.1362336,-0.023293952,-4.144126
294,SDSS-II SN 1750,0.064628564,0.802578,-2.6622903,1.5978215,3.948804
295,SDSS-II SN 17508,1.2347796,-1.1675836,-3.0444546,-1.154232,-3.0916278
296,SDSS-II SN 17539,-0.028005563,1.4169524,-5.0573916,1.0705615,0.70918024
297,SDSS-II SN 17542,0.4721527,2.0384486,-2.3246198,0.8925449,-0.26787606
298,SDSS-II SN 17620,0.8962485,0.118028276,-2.9556487,-0.21994449,-4.0528855
299,SDSS-II SN 17662,-0.62562066,0.49160844,0.13755928,-1.6452535,4.493781
300,SDSS-II SN 17667,0.782828,-2.6186984,-5.0141816,1.1056142,-4.102928
301,SDSS-II SN 17682,0.93684065,-0.42608282,-1.0055417,0.50779563,4.171937
302,SDSS-II SN 17729,1.6563911,-0.8975431,-1.6028734,-1.7154933,-0.5464745
303,SDSS-II SN 1773,3.4018588,-4.1508775,-1.0390145,1.0451261,-2.090314
304,SDSS-II SN 17748,0.8499934,-3.7472796,-4.527136,0.5997652,-3.1918304
305,SDSS-II SN 17789,0.12704836,1.7029526,-4.507624,1.1598923,-0.019679762
306,SDSS-II SN 17816,1.6925887,1.7677819,0.08912037,2.6410787,3.404202
307,SDSS-II SN 17853,1.0554489,0.2469134,-0.98393637,1.0630186,4.3136907
308,SDSS-II SN 17894,2.3913088,-5.270836,-1.7910162,1.3891966,-0.6156478
309,SDSS-II SN 17906,-0.1524817,1.6986692,-4.3517075,2.0542479,2.2769508
310,SDSS-II SN 17928,-0.073411874,2.197501,-5.9070725,2.9068658,1.3211334
311,SDSS-II SN 17952,1.1653835,-0.93695235,-2.9000685,-1.2658195,-2.7388756
312,SDSS-II SN 17997,0.07977495,2.3319368,-1.7169932,4.4771156,4.1619406
313,SDSS-II SN 18058,1.4447026,-3.6479833,-3.2763274,-0.1612846,-3.2788916
