,SN,0,1,2
260,SDSS-II SN 1500,-35.255062,-17.142403,-13.156271
261,SDSS-II SN 15046,-11.112482,-56.417034,40.719875
262,SDSS-II SN 15055,-35.741295,-53.486153,-10.667739
263,SDSS-II SN 15160,-29.183853,-68.516785,-17.072252
264,SDSS-II SN 15198,-58.455357,-4.9004917,-23.058817
265,SDSS-II SN 15239,0.18312882,-27.764427,-32.14236
266,SDSS-II SN 15272,-36.672024,-49.70258,19.553543
267,SDSS-II SN 15289,-26.82929,-10.755676,-54.192593
268,SDSS-II SN 15309,-17.841076,-46.964207,5.0099735
269,SDSS-II SN 1535,-3.232947,-70.54284,-35.541782
270,SDSS-II SN 15417,-45.50438,-52.860577,-20.618793
271,SDSS-II SN 15539,-22.12526,-39.316494,2.0514553
272,SDSS-II SN 15587,-65.99366,-35.169903,12.665634
273,SDSS-II SN 15751,-36.836025,-28.201239,-54.100582
274,SDSS-II SN 15793,-11.912326,-51.02643,-79.89482
275,SDSS-II SN 15903,6.8932004,-81.21293,-23.37462
276,SDSS-II SN 15914,-22.15882,29.774963,8.777708
277,SDSS-II SN 15944,-59.73377,-32.4537,-18.035181
278,SDSS-II SN 16091,-56.404762,-24.872883,-26.391441
279,SDSS-II SN 1622,-8.64112,-46.114483,-13.7424
280,SDSS-II SN 16412,-24.516304,51.569317,1.5696132
281,SDSS-II SN 16436,-32.47481,6.767238,-42.405727
282,SDSS-II SN 16455,5.015247,-50.614525,-35.31229
283,SDSS-II SN 16582,-11.337891,-65.38509,-39.99043
284,SDSS-II SN 16768,4.816002,-76.78885,1.3038884
285,SDSS-II SN 16838,-25.901876,44.22235,7.4605145
286,SDSS-II SN 16977,-22.776999,15.491643,27.379429
287,SDSS-II SN 17219,-24.913805,23.015093,-21.06633
288,SDSS-II SN 17303,-22.946693,-7.009927,22.625544
289,SDSS-II SN 17330,-45.75875,1.2311515,24.948425
290,SDSS-II SN 17396,23.846947,-61.99135,-43.403503
291,SDSS-II SN 17422,-81.48949,19.923567,30.718328
292,SDSS-II SN 17465,-53.6831,35.58023,31.11431
293,SDSS-II SN 17466,19.328516,-75.124756,-16.509245
294,SDSS-II SN 1750,-16.21739,-69.9673,-30.05354
295,SDSS-II SN 17508,-42.90741,-15.816299,-21.53579
296,SDSS-II SN 17539,-35.056816,43.385014,9.284713
297,SDSS-II SN 17542,-33.86392,3.6635935,-9.825184
298,SDSS-II SN 17620,16.268707,-69.99236,-21.573645
299,SDSS-II SN 17662,-34.633972,3.5153985,51.99224
300,SDSS-II SN 17667,-36.85493,-34.385124,-7.337325
301,SDSS-II SN 17682,-14.785098,-29.393713,-46.84549
302,SDSS-II SN 17729,-32.96341,-2.707564,61.145355
303,SDSS-II SN 1773,18.406563,-66.36329,-8.904226
304,SDSS-II SN 17748,-76.425156,-4.8102093,45.0367
305,SDSS-II SN 17789,-39.27626,20.756975,6.153931
306,SDSS-II SN 17816,-47.085155,21.215843,-62.118835
307,SDSS-II SN 17853,-44.95409,-56.631283,37.382545
308,SDSS-II SN 17894,-42.82857,-26.77094,24.498318
309,SDSS-II SN 17906,-67.56799,8.8025465,43.651924
310,SDSS-II SN 17928,-40.712395,-62.870064,17.069054
311,SDSS-II SN 17952,-49.509796,-33.96812,-14.782473
312,SDSS-II SN 17997,5.7700577,-58.407116,-70.68387
313,SDSS-II SN 18058,-30.938944,-36.412914,10.802699
314,SDSS-II SN 18067,-81.40858,-17.603315,15.930753
315,SDSS-II SN 18075,-11.345741,1.2956575,12.764585
316,SDSS-II SN 18077,-23.989403,-12.813453,61.613995
317,SDSS-II SN 18101,-17.339882,-23.72748,28.240194
318,SDSS-II SN 1821,3.8513262,-60.266754,-29.09386
319,SDSS-II SN 18226,-43.340218,63.828606,-174.48233
320,SDSS-II SN 18243,-55.35755,-33.75785,-30.749409
321,SDSS-II SN 18253,-17.75407,27.24423,-70.73226
322,SDSS-II SN 18273,-24.641161,-51.00866,-17.547468
323,SDSS-II SN 18276,-48.389923,-54.314117,-44.588352
324,SDSS-II SN 18301,-19.798157,-48.27459,-58.003242
325,SDSS-II SN 18331,-3.9212754,-32.07725,20.93879
326,SDSS-II SN 18376,-50.549934,32.74497,21.913446
327,SDSS-II SN 18387,1.2890434,186.69632,62.371193
328,SDSS-II SN 18405,-23.566868,-78.842735,-37.365833
329,SDSS-II SN 18454,2.0267224,-47.511738,-80.504326
330,SDSS-II SN 18479,-37.812683,-29.230986,-32.00947
331,SDSS-II SN 18593,-41.206337,10.436078,5.52013
332,SDSS-II SN 18598,-41.880466,-11.374735,11.959189
333,SDSS-II SN 18647,-65.25635,-11.9504795,-26.437323
334,SDSS-II SN 1866,-43.190594,-24.711853,-7.8803267
335,SDSS-II SN 18664,3.1536996,-57.729225,35.56382
336,SDSS-II SN 18743,4.1468096,-52.580162,25.454746
337,SDSS-II SN 18848,-15.456038,-12.855142,30.70972
338,SDSS-II SN 18898,-35.28492,37.896564,27.542545
339,SDSS-II SN 18917,-25.185926,-41.069714,-27.819813
340,SDSS-II SN 18935,-28.116768,-44.15879,-74.63203
341,SDSS-II SN 18943,-6.0267515,-35.569126,-9.510188
342,SDSS-II SN 18971,-39.099922,-49.875393,-27.134684
343,SDSS-II SN 18973,-3.0945745,-30.628109,-57.17511
344,SDSS-II SN 18983,-32.40897,18.145536,29.663748
345,SDSS-II SN 19059,-19.008553,-45.450188,-43.081886
346,SDSS-II SN 19189,-1.120084,-27.42356,-41.121258
347,SDSS-II SN 19209,-18.172758,-18.917831,-52.052227
348,SDSS-II SN 1921,-18.7509,-58.96847,-32.012074
349,SDSS-II SN 19344,6.9458647,-78.60424,-10.805169
350,SDSS-II SN 19399,-30.812223,-65.85081,-35.22986
351,SDSS-II SN 19428,-18.059368,-31.928513,30.129063
352,SDSS-II SN 19434,-11.491543,-68.002556,-9.556967
353,SDSS-II SN 19461,-32.227184,-68.50314,-5.131574
354,SDSS-II SN 19467,-47.238148,-43.861588,-38.664467
355,SDSS-II SN 19538,-40.56526,8.194095,15.986882
356,SDSS-II SN 19539,-45.261364,-41.05792,26.187834
357,SDSS-II SN 19683,-5.647141,-50.701004,15.257501
358,SDSS-II SN 19721,-27.273977,6.561614,38.441994
359,SDSS-II SN 19723,-42.202625,-12.649857,-30.103899
360,SDSS-II SN 19776,16.305656,-22.359049,-77.73373
361,SDSS-II SN 1980,-48.784626,5.871645,33.97872
362,SDSS-II SN 1982,-10.444539,-20.244799,31.178225
363,SDSS-II SN 1991,-26.892923,-61.623528,-16.446953
364,SDSS-II SN 19986,-24.697866,-27.114943,-80.47226
365,SDSS-II SN 19987,-1.1062796,-38.46227,-40.35577
366,SDSS-II SN 20216,-54.36653,3.2685833,42.74094
367,SDSS-II SN 20231,-4.1022453,-10.027324,-66.48512
368,SDSS-II SN 20251,-18.741295,-17.997751,22.857512
369,SDSS-II SN 20257,-12.487673,-10.66716,-51.752766
370,SDSS-II SN 20369,-31.765177,-37.135727,38.687214
371,SDSS-II SN 2041,-23.030008,-32.031815,11.075893
372,SDSS-II SN 20411,-19.871128,-23.774675,-71.87913
373,SDSS-II SN 2042,6.937856,-69.962135,-26.799585
374,SDSS-II SN 20467,-53.54445,-30.106773,23.441376
375,SDSS-II SN 20491,-66.81075,-32.20411,4.0266047
376,SDSS-II SN 20497,-22.152746,-17.458906,-27.03818
377,SDSS-II SN 20590,-34.6724,-35.594948,-26.370682
378,SDSS-II SN 20591,-13.941163,-47.35297,-33.38931
379,SDSS-II SN 20613,-15.116187,-58.94668,-55.535423
380,SDSS-II SN 20646,-13.847342,-50.284836,12.897356
381,SDSS-II SN 20721,-19.923788,-67.846275,1.439085
382,SDSS-II SN 2078,-14.260353,-15.844145,2.1373553
383,SDSS-II SN 20791,-21.775402,-65.816925,-7.8052917
384,SDSS-II SN 20805,5.872573,-36.440872,-4.6683097
385,SDSS-II SN 20820,-33.53381,17.184454,-65.797104
386,SDSS-II SN 20842,-16.855885,-55.06919,-42.713577
387,SDSS-II SN 20861,-20.630335,4.55793,13.619956
388,SDSS-II SN 20870,-18.979277,-53.603065,-7.367009
389,SDSS-II SN 20895,-18.668865,-51.866627,-25.472948
390,SDSS-II SN 20916,-15.016994,-39.571922,-47.41024
391,SDSS-II SN 2093,-43.187607,-4.859409,31.390923
392,SDSS-II SN 20953,-23.731855,-42.137455,-63.71243
393,SDSS-II SN 20956,-26.018286,-40.28301,30.718538
394,SDSS-II SN 20969,6.167248,-39.7221,-50.305805
395,SDSS-II SN 21081,-7.610447,-66.82118,19.94955
396,SDSS-II SN 21356,-42.648094,-41.765125,-54.09373
397,SDSS-II SN 21359,14.842534,-40.05018,11.572709
398,SDSS-II SN 21381,-42.90647,-18.128494,-50.80643
399,SDSS-II SN 2148,6.907476,-56.72877,-42.596127
400,SDSS-II SN 2149,-91.76586,-6.125219,14.3446045
401,SDSS-II SN 21553,-4.6650033,-44.77372,8.120603
402,SDSS-II SN 21709,-63.243324,-4.652791,3.6457033
403,SDSS-II SN 21711,-49.913334,-19.82834,10.737213
404,SDSS-II SN 2244,9.557855,-31.687569,-36.86677
405,SDSS-II SN 2325,-35.933834,-33.670544,28.023746
406,SDSS-II SN 2464,-28.291925,-55.832542,-3.93303
407,SDSS-II SN 2615,14.40328,-64.40427,-59.985157
