,SN,0,1,2,3,4,5,6
226,SDSS-II SN 13644,-7.172134,0.047698207,5.753994,10.840897,-6.271061,2.852517,-3.582504
227,SDSS-II SN 13646,-2.1694412,-1.4185994,-5.16549,9.460689,5.4149003,-6.7991085,7.7153416
228,SDSS-II SN 13675,-0.9398899,-2.828414,0.9498961,1.6389316,-8.564382,-15.909142,6.83017
229,SDSS-II SN 13699,-4.615005,-4.132872,-5.7627397,1.4743809,-10.229351,-5.2072806,-1.8360988
230,SDSS-II SN 13725,-4.0998516,-7.1093917,-3.4987478,4.173906,-7.8559365,1.3783685,-8.97581
231,SDSS-II SN 13803,0.16990606,3.0271382,-12.64163,-3.1128736,-0.09563451,-2.9012265,1.7267327
232,SDSS-II SN 13813,-11.256324,7.139319,-2.8882346,2.0689428,-5.2977,-8.592174,-3.6364684
233,SDSS-II SN 13833,0.23038487,-4.067238,9.857884,-5.129118,-11.249721,-2.0849876,-0.9689797
234,SDSS-II SN 13843,0.97078955,0.6147761,12.049674,0.8539371,4.8792872,-6.0196347,6.6172314
235,SDSS-II SN 13864,-3.9622095,7.376107,-6.940926,0.8707527,-8.411562,-13.280679,1.5767096
236,SDSS-II SN 13931,4.067357,4.1305428,3.6838043,-10.581926,-5.0372133,-8.822096,-2.0702837
237,SDSS-II SN 1395,-6.983065,5.8993154,-0.70633644,2.947526,-6.6210074,-3.787924,3.5290022
238,SDSS-II SN 14054,-9.2996645,-0.13975042,-10.449861,-4.8433595,2.159804,-5.94184,-0.4868939
239,SDSS-II SN 14081,-4.5113316,-1.2756852,-4.943602,1.9117666,-1.8302289,-8.274387,-12.320131
240,SDSS-II SN 14113,1.0057038,-0.12525268,-1.6807638,-5.147933,-10.014517,-11.013468,-6.5375056
241,SDSS-II SN 14258,2.604599,2.1448283,-2.7761388,4.2063475,5.322359,-11.491155,10.162834
242,SDSS-II SN 14260,0.9518983,3.5593252,5.772313,4.18195,2.9128103,-10.653114,-3.8556094
243,SDSS-II SN 14311,9.926593,1.6624564,-8.11743,-0.5645099,2.5552871,-12.602968,5.431506
244,SDSS-II SN 14347,-6.850316,3.6342533,-1.51802,-2.151879,-5.8357906,-14.083601,-5.7703743
245,SDSS-II SN 14361,-1.737595,0.79153347,5.109218,-1.1206758,-3.2205837,-3.866051,3.0491056
246,SDSS-II SN 14375,1.7131624,-6.174345,-2.9785614,-1.6769841,-6.4011865,-13.294032,0.699302
247,SDSS-II SN 14400,-6.2661233,-4.0242743,5.2290325,0.6811439,4.780572,-7.305022,-5.999508
248,SDSS-II SN 14429,-2.0248582,-0.6366826,0.20994955,6.801822,-8.357975,-11.490876,-0.9561665
249,SDSS-II SN 14453,-2.3036904,2.9425826,11.866881,-3.2348588,-6.544228,-1.2137101,-5.160871
