,SN,0,1,2,3,4,5
242,SDSS-II SN 14260,-12.957974,11.487239,-5.4276795,8.515661,2.8780887,-8.28455
243,SDSS-II SN 14311,-1.427487,18.350563,-0.2485214,6.4818573,-2.095916,8.0356865
244,SDSS-II SN 14347,-16.543514,-0.32377774,-3.010615,-7.6956496,0.28959382,-11.859343
245,SDSS-II SN 14361,-13.023526,5.237917,0.6459953,11.8884325,7.5928726,-5.823156
246,SDSS-II SN 14375,-9.038376,11.225309,2.4004533,-1.3802866,2.7290733,-20.16318
247,SDSS-II SN 14400,-5.556279,-0.96279395,-10.115243,6.694128,3.0275314,-3.0214596
248,SDSS-II SN 14429,-17.607803,6.6386566,-5.3101697,1.511529,-0.36612374,-7.591951
249,SDSS-II SN 14453,-8.90105,1.5671362,6.642918,11.858405,13.585311,-9.741681
250,SDSS-II SN 14467,-10.220871,3.91262,-3.65589,-3.8416128,-0.45329267,-19.167702
251,SDSS-II SN 14493,-5.1452694,-5.0366287,9.986649,-10.494439,-5.415545,-2.8027852
252,SDSS-II SN 14498,-3.5243452,16.882057,9.377061,-6.8322797,7.927713,-11.159585
253,SDSS-II SN 14505,-8.964462,-4.5349293,8.049827,-1.9193698,10.617337,-13.974192
254,SDSS-II SN 14528,-8.946298,6.7043386,6.0323896,-12.579449,-9.751005,-3.6329584
255,SDSS-II SN 14617,-15.217456,1.6294315,-13.610767,-9.849867,2.981554,-5.884665
256,SDSS-II SN 1465,2.665562,-8.774865,-15.647489,-10.38109,-1.1073221,-2.1933308
257,SDSS-II SN 1470,-3.518708,9.208146,18.64047,-0.18037884,-2.339596,-3.4635763
258,SDSS-II SN 14821,-16.45858,14.723006,2.8019276,-1.4139934,-3.6872349,-4.8203244
259,SDSS-II SN 14964,-8.955521,-11.089518,-3.8702462,8.14057,0.66726476,-12.216751
260,SDSS-II SN 1500,-6.900965,11.935628,-7.5386744,3.0126207,-2.3253505,-4.345001
261,SDSS-II SN 15046,-2.7994363,-23.308626,6.8040366,-5.073596,-4.910965,4.256213
