,SN,0,1
372,SDSS-II SN 20411,-9.312371,-12.752638
373,SDSS-II SN 2042,-19.50944,-8.617751
374,SDSS-II SN 20467,3.4999754,-13.952682
375,SDSS-II SN 20491,9.057345,-19.28651
376,SDSS-II SN 20497,-12.562478,-21.132948
377,SDSS-II SN 20590,-10.250081,-18.380072
378,SDSS-II SN 20591,-18.458227,-17.220472
379,SDSS-II SN 20613,-20.104387,-12.466176
380,SDSS-II SN 20646,-8.778791,-8.393742
381,SDSS-II SN 20721,-15.867379,-11.456828
382,SDSS-II SN 2078,-0.6963886,-3.792711
383,SDSS-II SN 20791,-14.170443,-10.788522
384,SDSS-II SN 20805,-5.633336,-4.525813
385,SDSS-II SN 20820,12.110937,-11.92848
386,SDSS-II SN 20842,-20.929472,-13.41208
387,SDSS-II SN 20861,6.426846,-9.433633
388,SDSS-II SN 20870,-15.142355,-12.061991
389,SDSS-II SN 20895,-15.540089,-14.4591875
390,SDSS-II SN 20916,-17.89621,-18.054127
391,SDSS-II SN 2093,8.332052,-9.721826
392,SDSS-II SN 20953,-11.661762,-9.334727
393,SDSS-II SN 20956,-0.8826153,-9.974339
394,SDSS-II SN 20969,-18.618576,-6.1206436
395,SDSS-II SN 21081,-8.557957,-9.337685
396,SDSS-II SN 21356,-13.029145,-17.288523
397,SDSS-II SN 21359,-4.725622,-2.4302685
398,SDSS-II SN 21381,-8.064985,-16.666378
399,SDSS-II SN 2148,-19.954865,-6.321022
400,SDSS-II SN 2149,12.150704,-18.865818
401,SDSS-II SN 21553,-7.3940773,-7.5655947
402,SDSS-II SN 21709,6.444577,-16.761475
403,SDSS-II SN 21711,5.4687357,-14.155381
404,SDSS-II SN 2244,-19.582605,-3.1556358
405,SDSS-II SN 2325,2.6824865,-10.883328
406,SDSS-II SN 2464,-14.228126,-12.063434
407,SDSS-II SN 2615,-18.14984,-6.7656803
408,SDSS-II SN 2630,-2.8653293,-21.141459
409,SDSS-II SN 2808,8.3919935,-21.977783
410,SDSS-II SN 2912,-16.106833,-10.625104
411,SDSS-II SN 3090,10.154449,-6.8566594
412,SDSS-II SN 3196,-14.699084,-4.298931
413,SDSS-II SN 3344,0.33982348,-13.701044
414,SDSS-II SN 3368,-8.436295,-13.752584
415,SDSS-II SN 3417,16.187529,-16.030075
416,SDSS-II SN 3514,3.04601,-13.096609
417,SDSS-II SN 3529,2.9242592,-8.518197
418,SDSS-II SN 3533,9.315186,-21.965874
419,SDSS-II SN 3558,7.7480683,-13.70339
420,SDSS-II SN 3565,14.310736,-13.0419655
421,SDSS-II SN 3983,-4.7590714,-22.699488
422,SDSS-II SN 4019,5.9125156,-14.925235
423,SDSS-II SN 4044,-12.677812,-3.1879811
424,SDSS-II SN 4104,12.427977,-7.6299944
425,SDSS-II SN 4129,-11.46833,-21.892218
426,SDSS-II SN 4181,7.271904,-15.32447
427,SDSS-II SN 4307,12.200984,-17.939047
428,SDSS-II SN 4330,-3.9203837,-9.0854435
429,SDSS-II SN 4375,0.20496826,-13.045644
430,SDSS-II SN 4534,-10.332157,-8.336091
431,SDSS-II SN 4606,-3.1523004,-6.343672
432,SDSS-II SN 4888,-2.2552748,-1.855824
433,SDSS-II SN 4906,8.542607,-11.093689
434,SDSS-II SN 4907,-0.3376914,-21.450602
435,SDSS-II SN 4966,9.160678,-15.614132
436,SDSS-II SN 4978,-14.147287,-13.618345
437,SDSS-II SN 5001,15.423776,-3.5872555
438,SDSS-II SN 5235,-1.4577814,-19.733
439,SDSS-II SN 5401,1.8141166,-14.773802
440,SDSS-II SN 5468,-2.4864817,-15.116257
441,SDSS-II SN 5498,-10.431808,-14.181679
442,SDSS-II SN 5590,-8.253591,-16.199736
443,SDSS-II SN 5607,-2.6287396,-1.1071076
444,SDSS-II SN 5810,-8.671276,-1.7488906
445,SDSS-II SN 5890,13.225204,-9.807878
446,SDSS-II SN 5959,11.695067,-11.19766
447,SDSS-II SN 5963,-3.5882182,-23.02424
448,SDSS-II SN 6055,12.596542,-12.958838
449,SDSS-II SN 6289,-3.035877,-7.689663
450,SDSS-II SN 6327,10.322112,-8.720877
451,SDSS-II SN 6556,-3.6723301,-10.740248
452,SDSS-II SN 6560,0.37002987,-15.203464
453,SDSS-II SN 6618,-3.7977312,-13.058737
454,SDSS-II SN 6714,-11.996361,-7.445795
455,SDSS-II SN 6715,-7.464308,-11.532174
456,SDSS-II SN 7024,-10.046358,-10.00032
457,SDSS-II SN 703,-1.0128622,-20.85923
458,SDSS-II SN 7039,14.535399,-9.757047
459,SDSS-II SN 7121,10.305395,-18.738836
460,SDSS-II SN 7123,7.1848693,-14.744112
461,SDSS-II SN 7233,-2.0626323,-13.183415
462,SDSS-II SN 7499,-21.05647,-7.926884
463,SDSS-II SN 7636,-17.897047,-15.968338
464,SDSS-II SN 764,14.18831,-6.2727633
465,SDSS-II SN 7647,-17.175076,-19.410366
466,SDSS-II SN 7701,-7.6497674,-15.064483
467,SDSS-II SN 7725,0.018340677,-8.382827
468,SDSS-II SN 773,16.095882,-11.297096
469,SDSS-II SN 801,6.11265,-10.253966
470,SDSS-II SN 8196,-15.016702,-11.977067
471,SDSS-II SN 8236,1.6039528,-13.643186
472,SDSS-II SN 8252,-14.610654,-7.184775
473,SDSS-II SN 8721,-2.0492332,-9.19329
474,SDSS-II SN 8744,9.080887,-10.659188
475,SDSS-II SN 904,8.828714,-11.261867
476,SDSS-II SN 9052,13.52358,-15.7346945
477,SDSS-II SN 917,13.173915,-7.67734
478,SDSS-II SN 9250,13.398276,-5.5204926
479,SDSS-II SN 9326,7.6674867,-10.434097
480,SDSS-II SN 9424,-22.037626,-12.081868
481,SDSS-II SN 9632,-14.804274,-18.614439
482,SN2005fj,16.703926,-12.9802
483,SN2005gi,-13.747377,-10.872448
484,SN2005jq,20.278616,-8.772404
485,SN2005kq,3.1023817,-21.388643
486,SN2005lo,-1.8996193,-17.407326
487,SN2005ml,21.059563,-8.657395
488,SN2005mn,-15.228049,-9.579623
489,SN2005mp,6.466626,-12.127309
490,SN2006ft,12.533158,-8.868859
491,SN2006gd,-17.972883,-6.578138
492,SN2006ge,-6.118425,-9.433208
493,SN2006gk,-14.50313,-18.13649
494,SN2006gl,1.5201424,-15.93437
495,SN2006go,-10.72486,-10.531696
496,SN2006gp,-17.394707,-8.448361
497,SN2006gu,9.330315,-11.187013
498,SN2006hj,11.773146,-18.057888
499,SN2006hk,12.620739,-16.489445
500,SN2006hm,-9.629088,-12.379076
501,SN2006hw,16.36443,-15.335367
502,SN2006jg,-5.9357853,-4.707176
503,SN2006jz,7.4616647,-16.937876
504,SN2006kd,4.1956944,-21.29847
505,SN2006ks,-10.041874,-19.14686
506,SN2006ll,-9.063486,-15.335993
507,SN2006lq,-10.240742,-18.354023
508,SN2006mz,-2.2582784,-23.600426
509,SN2006nc,20.623367,-10.616455
510,SN2006np,16.908266,-13.188354
511,SN2006nt,8.097448,-17.654152
512,SN2006nw,19.236588,-11.567636
513,SN2006op,-2.3411155,-15.654258
514,SN2006oz,16.782185,-6.9247847
515,SN2006ph,7.5674977,-16.398685
516,SN2006pj,0.49234185,-17.502909
517,SN2006pm,6.6678324,-16.835081
518,SN2006pn,10.308655,-12.8104315
519,SN2006po,-5.6067505,-9.387232
520,SN2006pr,19.522545,-8.969609
521,SN2006pu,16.01955,-6.6509166
522,SN2006qd,0.9147749,-14.849608
523,SN2006qh,0.1753488,-14.929795
524,SN2006sw,15.762081,-12.744735
525,SN2006sx,2.4410665,-16.605827
526,SN2007fr,-8.864866,-2.6405725
527,SN2007gl,-22.956165,-6.2766056
528,SN2007hy,1.2956717,-16.99043
529,SN2007jb,-2.5296366,-11.152168
530,SN2007jj,11.9470825,-15.388157
531,SN2007jv,18.104933,-5.705272
532,SN2007kb,4.414902,-14.746758
533,SN2007kp,13.157761,-15.675685
534,SN2007la,17.473915,-12.188928
535,SN2007lf,-17.839767,-16.052801
536,SN2007lm,-0.79817295,-15.3897915
537,SN2007ls,11.256489,-12.613192
538,SN2007lu,8.826505,-13.917127
539,SN2007mf,10.131729,-11.824013
540,SN2007mg,14.819612,-15.696984
541,SN2007mu,-4.19385,-22.544168
542,SN2007nx,13.278478,-4.7573705
543,SN2007oa,-4.2472463,-21.232512
