,SN,0,1,2,3,4,5,6,7
202,SDSS-II SN 12879,-3.5585408,-8.425485,4.7453794,-4.8197436,1.8529304,4.8104687,6.1216288,0.31249312
203,SDSS-II SN 12936,3.127901,-2.5980422,-4.9058747,0.9998429,-7.1746387,-0.5249893,-6.2458925,-2.865027
204,SDSS-II SN 12939,-2.7537014,1.5525268,4.7289324,-6.5254345,-3.2016113,-6.690572,0.4569498,-1.7107283
205,SDSS-II SN 12964,-0.16361205,6.4266768,-1.0396341,-4.059901,-11.108213,-3.76438,-0.5263805,-4.007613
206,SDSS-II SN 13051,-4.4767795,5.6438947,-3.5211384,0.33663,-6.664019,-6.336095,-5.136379,-1.5106831
207,SDSS-II SN 13062,-8.540287,-1.108206,-3.9861226,2.7705226,-2.2520766,-0.37947884,-9.170581,-0.8084964
208,SDSS-II SN 13076,6.2624044,7.016258,6.0006247,0.31812793,-7.829673,1.9663764,1.9384066,-3.7222843
209,SDSS-II SN 13096,0.5372617,-0.75056475,-4.3932357,-6.2871213,-6.8686132,0.25381714,3.76739,-5.199141
210,SDSS-II SN 13168,-2.95471,-5.901264,5.2318854,6.815228,-5.273753,5.7969475,3.8729491,1.4372137
211,SDSS-II SN 13283,-5.1261206,-3.608948,0.021046616,-1.2007155,0.021267865,4.871096,6.9464936,4.2095547
212,SDSS-II SN 13291,-3.339448,1.0095959,7.126453,-0.22588839,-1.1623669,-7.428294,6.003263,-0.036091574
213,SDSS-II SN 13330,-2.8779855,-2.0284054,7.6155047,-6.7534485,-3.999802,3.8231184,1.214221,2.3016403
214,SDSS-II SN 13344,-1.3183535,-6.495745,-1.9618479,-3.8260684,-10.243952,0.49347776,1.7684404,5.726386
215,SDSS-II SN 13395,-5.05909,4.5078197,0.49581036,-3.1814122,-8.029451,-10.21779,1.8918915,-0.00988301
216,SDSS-II SN 13404,-1.2491695,1.154731,-2.515612,-7.91025,-3.6509852,7.5625625,3.4477472,2.91451
217,SDSS-II SN 1342,7.6811337,-6.627052,-0.6393086,-3.8847816,-0.9218589,5.089362,-2.3330317,0.6646249
218,SDSS-II SN 13440,-9.199588,-5.8780446,-0.35834345,-3.0432878,-3.9995534,0.28722465,9.956985,2.1220682
219,SDSS-II SN 13441,4.500974,-1.4321473,3.9712157,-5.659283,-8.459348,1.7492411,4.7382083,-2.628164
220,SDSS-II SN 13460,-5.2849956,0.15829663,0.4771026,3.492316,-7.377128,-4.8598275,4.8014345,1.3098552
