0,1,2,3,4,5,6,7,8
SDSS-II SN 13820 (g'r'i'),-1.6830331,-0.56921285,0.7588403,1.3028597,-2.6325054,0.5435331,-0.7414188,1.5255185
SDSS-II SN 13833 (g'r'i'),-0.93521976,0.42770374,1.1780174,1.6728874,-1.6514263,-1.3854973,1.1269464,3.269309
SDSS-II SN 13839 (g'r'i'),-0.0113347685,-0.51261413,1.8646317,-0.30694762,-0.7071391,-0.21525371,-0.64874536,-1.684612
SDSS-II SN 13849 (g'r'i'),-1.8552755,0.6336294,1.0259564,2.5943553,-1.2235302,-0.44380087,-0.7800459,2.7130334
SDSS-II SN 1385 (g'r'i'),-1.1271706,0.9857146,1.3954651,1.8278047,-0.3381388,-0.3766217,-1.5814145,0.1909195
SDSS-II SN 13859 (g'r'i'),-0.8065361,-0.9901587,0.55725837,-0.52858543,-1.52683,-1.3858134,0.5792569,-0.98993677
SDSS-II SN 13861 (g'r'i'),-1.0095202,0.46468943,1.7425752,1.7829399,-2.2168872,-1.1767714,0.15973915,1.8819079
SDSS-II SN 13862 (g'r'i'),0.6506829,-0.7649336,2.3250093,0.8371314,-0.6927483,-0.7194826,-0.82422394,-1.6151927
SDSS-II SN 13864 (g'r'i'),0.15502816,-0.50531316,0.50176245,0.97942203,-2.474537,-0.7378085,0.8369492,1.0365206
SDSS-II SN 13868 (g'r'i'),0.4689832,0.86551315,2.7590137,-0.95846605,1.8650525,1.2853026,-1.3895949,-3.8816888
SDSS-II SN 13896 (g'r'i'),0.5949914,-0.37051028,-1.4291763,-1.9152484,-0.1897706,0.3738698,1.1761508,-1.3602648
SDSS-II SN 13903 (g'r'i'),-0.6010425,0.24087423,1.6227183,1.5979388,-2.4414542,-1.1891875,0.31542203,1.7001851
SDSS-II SN 13909 (g'r'i'),-0.4097749,0.45009294,-1.318361,-1.7247097,0.83602625,-0.82329005,-0.4859164,-1.8972558
SDSS-II SN 13931 (g'r'i'),-0.61334985,1.1769968,1.2046568,2.1022937,0.6482627,-0.45090103,-1.6120142,0.5502652
SDSS-II SN 13932 (g'r'i'),1.6230389,-0.39104304,-0.7090735,-1.3481139,2.4877105,0.6367927,-0.055321924,-2.3872855
SDSS-II SN 13946 (g'r'i'),-0.010369394,-1.4286714,-0.20691404,-1.3036222,0.48184538,-0.03221776,1.9434706,-0.855694
SDSS-II SN 1395 (g'r'i'),-1.086953,1.244757,0.7944694,1.4284045,-0.6123952,0.92161775,-2.067351,-0.070017874
SDSS-II SN 13968 (g'r'i'),0.17719026,0.9898648,0.6450291,-1.6958648,3.6188219,0.48321578,-1.5329442,-5.0054893
SDSS-II SN 13971 (g'r'i'),-0.2472157,-0.14361414,2.3039994,0.7600241,-1.5404093,-0.08491935,-1.4862702,-0.8939162
SDSS-II SN 14013 (g'r'i'),-1.7234558,1.6694026,2.2639542,0.5812689,-1.3603833,-0.60055035,0.4407407,2.211454
SDSS-II SN 14015 (g'r'i'),-1.1460077,0.43526542,1.7396729,2.0354505,-1.4478145,-1.3552836,-0.38590372,0.9687082
SDSS-II SN 14053 (g'r'i'),0.8688248,0.72432446,0.5340776,-1.4815736,3.3536487,0.660103,-1.9005201,-5.3382735
SDSS-II SN 14054 (g'r'i'),2.4376717,0.25804535,1.9900469,-0.053194825,1.2090795,0.98535806,-1.7629719,-4.116462
SDSS-II SN 14074 (g'r'i'),0.27357772,-0.23038466,0.7774926,1.0121797,-2.2627487,-1.2227943,1.0053266,1.3190295
SDSS-II SN 14081 (g'r'i'),2.7801282,0.31755468,1.5937992,-0.056680195,2.1984305,0.85369354,-2.4036646,-5.4324718
SDSS-II SN 14085 (g'r'i'),2.5615027,0.70191497,2.625853,0.47531086,2.5892475,0.1212683,-1.4227,-3.924049
SDSS-II SN 1409 (g'r'i'),2.0050855,0.9151362,0.87162787,-0.9225117,3.0784142,0.16059923,-2.4376628,-5.5099254
SDSS-II SN 14102 (g'r'i'),0.47831193,-0.9614908,1.7021858,0.602994,-0.15273942,-1.367829,-0.13914952,-1.6822056
SDSS-II SN 14113 (g'r'i'),-1.3732889,-0.04573268,0.3319796,2.7682393,-0.77437747,-1.5505483,0.6056026,3.5379336
SDSS-II SN 14170 (g'r'i'),2.6708794,0.12112056,1.5680511,1.3279172,0.014228581,-0.3479904,-2.7145593,-4.021455
SDSS-II SN 14205 (g'r'i'),-1.6602783,-0.005968105,1.9957281,0.4968409,-2.6278222,-0.35193044,-0.7574012,0.30042765
SDSS-II SN 14209 (g'r'i'),1.54312,0.34347874,0.05016593,-1.4186903,2.0234656,0.89935,-0.31111315,-2.6657114
SDSS-II SN 14231 (g'r'i'),0.47031304,-0.082263984,-2.0594542,-1.956505,0.08334535,-0.03675902,1.5001917,-0.5823542
SDSS-II SN 14232 (g'r'i'),2.2341962,-0.41277713,-0.2824465,-1.4417629,2.8341472,0.87686414,-0.16466033,-3.128131
SDSS-II SN 14251 (g'r'i'),0.85802805,-0.29956734,2.9810054,0.10876303,0.9507501,0.56408453,-0.5615192,-2.4497006
SDSS-II SN 14258 (g'r'i'),0.19278418,0.08460587,0.9617186,0.7752534,-2.1532052,-1.2390033,1.4092019,2.4402933
SDSS-II SN 14260 (g'r'i'),-0.8445256,0.18059167,-0.30924696,-0.62818146,2.2802348,-1.3105909,-1.9358972,-1.9622619
SDSS-II SN 14262 (g'r'i'),2.9775145,-0.12543888,0.9712012,-0.6644154,1.9817802,1.1977764,-2.370054,-6.020638
SDSS-II SN 14268 (g'r'i'),-0.27506903,-0.5248731,2.002739,0.6245135,-1.5794841,0.28669834,-1.5504582,-1.1860819
SDSS-II SN 14285 (g'r'i'),0.30558547,1.1497632,1.0822521,-1.3095384,3.3768072,0.12572739,-1.4591817,-4.507359
