,SN,0,1,2,3,4
223,SDSS-II SN 13492,-12.226481,11.077358,-5.3160315,-21.479866,-0.7438823
224,SDSS-II SN 13529,7.550753,-11.382064,-4.224572,-6.491452,-25.248882
225,SDSS-II SN 13554,-7.7617307,-15.666137,-0.71232116,-6.7133784,-18.763847
226,SDSS-II SN 13644,22.01776,1.9162868,18.337301,-3.5750215,-1.9956542
227,SDSS-II SN 13646,15.01147,-14.479546,-4.710254,2.6996236,-11.542668
228,SDSS-II SN 13675,-5.007552,0.87613785,-7.5898876,-9.877851,-29.967323
229,SDSS-II SN 13699,-2.4313161,22.19228,8.024953,-10.987047,-9.050807
230,SDSS-II SN 13725,-1.5722067,-4.8946805,23.814976,-6.3257356,-3.233097
231,SDSS-II SN 13803,-7.4634943,8.435687,2.6876278,4.4234157,-4.203715
232,SDSS-II SN 13813,8.658133,8.492217,12.471199,-4.643756,-19.168653
233,SDSS-II SN 13833,-8.253655,19.193365,-12.901404,3.6844952,-9.419602
234,SDSS-II SN 13843,0.8349638,0.16492638,-22.385466,-3.7150545,-10.524723
235,SDSS-II SN 13864,-8.472386,0.60185903,10.211221,-7.1919417,-26.675037
236,SDSS-II SN 13931,-10.727275,8.6680765,-12.85906,-14.417379,-6.6813397
237,SDSS-II SN 1395,-1.1099281,6.0831513,9.847646,-5.4014206,-15.819441
238,SDSS-II SN 14054,4.630946,16.090633,23.508364,-5.637644,-5.11352
239,SDSS-II SN 14081,-6.247025,23.570585,16.397366,2.1537955,-1.3540874
240,SDSS-II SN 14113,-13.760464,2.4009573,-2.7546074,-19.287128,-12.944726
241,SDSS-II SN 14258,-1.3430328,-15.080491,-6.253318,-9.229185,-14.841258
242,SDSS-II SN 14260,5.451208,4.5271177,-5.849092,1.665728,-15.8769455
243,SDSS-II SN 14311,-9.564105,-11.187989,-0.9065111,-18.174784,-11.145633
244,SDSS-II SN 14347,-1.4631778,9.940139,1.959234,2.2756095,-30.587566
245,SDSS-II SN 14361,-5.5002623,5.4683533,-4.037768,5.005644,-11.975331
246,SDSS-II SN 14375,-11.255356,7.6998057,-7.7125063,-4.7772517,-19.362957
247,SDSS-II SN 14400,14.484514,13.43582,2.0272226,-20.133575,-3.7367241
248,SDSS-II SN 14429,3.6091664,8.954485,-4.4918103,-3.8953762,-24.264177
249,SDSS-II SN 14453,-4.1442924,8.160125,-14.221556,18.685581,-9.0009
250,SDSS-II SN 14467,11.411014,-3.7558336,-7.685322,-23.384476,-14.370293
251,SDSS-II SN 14493,14.188242,6.784975,-12.767099,-10.25711,-1.5799426
252,SDSS-II SN 14498,-20.000496,13.485271,-6.033905,-20.474007,-9.401002
253,SDSS-II SN 14505,-8.225599,21.197086,-7.828592,5.135186,-17.412304
254,SDSS-II SN 14528,-3.6323092,-21.166693,-0.80640155,-4.199306,-23.52116
255,SDSS-II SN 14617,18.631067,11.402092,10.288505,-10.067969,-18.189747
256,SDSS-II SN 1465,14.742675,1.3749754,23.907633,3.57934,-2.61371
257,SDSS-II SN 1470,-19.356863,4.026002,-9.526869,-5.4432774,-5.4963903
258,SDSS-II SN 14821,-12.348093,-2.728054,-1.9848762,-10.016254,-21.993988
259,SDSS-II SN 14964,20.413765,13.620431,-4.501757,-4.3476124,0.93961686
260,SDSS-II SN 1500,2.1555893,-0.62003183,1.8377738,-4.378992,-15.519044
261,SDSS-II SN 15046,-7.130349,-17.535788,-13.510115,-19.570354,3.2963738
262,SDSS-II SN 15055,4.127792,4.626076,-0.97027403,-19.597954,-10.302129
263,SDSS-II SN 15160,-0.13816942,1.5572032,-8.522162,-26.849577,-11.917288
264,SDSS-II SN 15198,5.730553,0.34085613,3.342056,-0.7083733,-30.555357
265,SDSS-II SN 15239,-17.741465,-10.789719,-1.3079367,-7.059533,-5.1509366
266,SDSS-II SN 15272,-6.188707,20.461613,9.749504,-17.41586,-13.282438
267,SDSS-II SN 15289,-5.319101,-9.012496,-16.883947,0.88335335,-19.81442
268,SDSS-II SN 15309,-5.9811606,12.724286,7.1629333,-21.5421,-1.5558269
269,SDSS-II SN 1535,-19.984293,8.446386,1.0740625,-14.363212,-9.999627
270,SDSS-II SN 15417,-4.6134243,17.007065,-7.2814035,-18.272367,-11.017613
271,SDSS-II SN 15539,0.47222927,17.25707,6.172267,-19.842817,2.7853546
272,SDSS-II SN 15587,10.264316,19.449934,10.22998,-8.058476,-20.947351
273,SDSS-II SN 15751,-3.5349236,2.2843156,-12.527024,-0.7359382,-20.36169
274,SDSS-II SN 15793,-10.903803,19.822136,-11.726236,-4.014927,-17.905489
275,SDSS-II SN 15903,-15.914723,18.092028,-11.576583,-13.43982,-9.004864
276,SDSS-II SN 15914,4.2594314,-7.412058,5.55678,15.521653,-8.294625
277,SDSS-II SN 15944,-3.1533887,12.274761,6.352202,-14.125521,-26.238993
278,SDSS-II SN 16091,-2.319121,8.345794,0.8991026,-5.6549,-28.425314
279,SDSS-II SN 1622,-10.943018,11.876148,-6.7979617,-1.191104,-7.593898
280,SDSS-II SN 16412,7.26527,3.722092,-3.106834,25.128128,-1.414041
281,SDSS-II SN 16436,-2.7615309,-12.254648,-3.053048,8.42904,-26.668293
282,SDSS-II SN 16455,-14.119369,-7.5416336,-21.88469,-10.52925,-6.8899107
