,SN,0,1,2,3,4
246,SDSS-II SN 14375,-7.0718594,-28.662973,9.452011,-0.47209874,1.7117925
247,SDSS-II SN 14400,-16.550678,-11.04957,-11.062592,-4.044306,-0.70633185
248,SDSS-II SN 14429,-7.327912,-20.47636,-1.1752445,12.9891815,-12.594883
249,SDSS-II SN 14453,2.0132854,-16.193739,17.774885,-15.385583,-0.5521018
250,SDSS-II SN 14467,-5.807692,-9.705395,11.423284,-13.514762,-12.655857
251,SDSS-II SN 14493,29.510914,1.4807774,-4.426881,2.4688208,3.5480874
252,SDSS-II SN 14498,12.404758,-32.026684,7.490154,4.9453382,7.011007
253,SDSS-II SN 14505,-6.9894505,-20.323187,-4.5222125,-15.0787945,10.259257
254,SDSS-II SN 14528,-13.046118,-12.710694,16.318432,7.9544277,-16.527195
255,SDSS-II SN 14617,-5.3335996,-20.198544,-17.05664,-0.082559384,-15.990206
256,SDSS-II SN 1465,-12.440302,8.38309,-8.860454,-7.4212523,-13.241202
257,SDSS-II SN 1470,10.041512,-14.97295,7.8773394,-0.8327157,17.954327
258,SDSS-II SN 14821,-7.98867,-24.600416,13.672448,6.067365,-5.6125727
259,SDSS-II SN 14964,7.797923,-9.937217,-1.9249438,-17.31218,-10.09071
260,SDSS-II SN 1500,-6.5221934,-10.532318,1.5745314,8.630528,-11.3445
261,SDSS-II SN 15046,29.515547,59.17898,-19.834944,25.138557,-22.947788
262,SDSS-II SN 15055,10.485113,-17.813763,7.1156735,3.1504626,-10.623031
263,SDSS-II SN 15160,10.568267,-15.297327,11.312771,18.093035,-3.1383867
264,SDSS-II SN 15198,-1.7673666,-20.19271,5.420432,-0.5424172,-20.988602
265,SDSS-II SN 15239,2.104687,-9.675298,9.238327,12.216111,0.65841997
266,SDSS-II SN 15272,1.2383363,-23.567602,-16.26408,4.4762764,8.139013
267,SDSS-II SN 15289,-19.637363,-14.435455,15.127314,4.101578,-4.3962507
268,SDSS-II SN 15309,18.688385,-18.380898,-7.615856,4.5753636,0.7592288
269,SDSS-II SN 1535,16.681799,-23.969448,4.1078587,-2.2136176,6.2722774
270,SDSS-II SN 15417,11.361955,-25.374012,2.2544641,-3.5012543,-7.626892
271,SDSS-II SN 15539,17.5212,-13.916576,-10.6283655,10.904282,4.1812897
272,SDSS-II SN 15587,-6.1475825,-20.004196,-18.866219,12.0685,-9.455716
273,SDSS-II SN 15751,-16.03784,-17.818138,6.3063927,2.023022,1.0654238
274,SDSS-II SN 15793,0.8161632,-18.464432,-0.1784097,-16.37126,14.373354
275,SDSS-II SN 15903,12.267769,-29.123041,-1.5730901,-1.0528737,11.49152
276,SDSS-II SN 15914,9.6122465,6.136116,-19.357239,-12.843209,-11.72888
277,SDSS-II SN 15944,1.2186433,-27.02946,-1.5362817,14.111146,-11.204444
278,SDSS-II SN 16091,-5.3390746,-26.948015,-0.19768496,5.887171,-13.076942
279,SDSS-II SN 1622,5.208286,-20.0611,0.49841413,-3.6805851,3.6118338
280,SDSS-II SN 16412,-1.067851,1.9067323,-26.004116,-21.047897,-7.197126
281,SDSS-II SN 16436,5.80527,-11.0238905,16.606636,-8.178485,-17.846533
282,SDSS-II SN 16455,7.4705815,-18.65316,19.455297,-6.7729583,10.611296
283,SDSS-II SN 16582,8.011669,-25.268719,14.650388,1.2857187,6.569844
284,SDSS-II SN 16768,10.740019,-13.212476,17.647812,2.2567654,3.724626
285,SDSS-II SN 16838,-0.7508683,1.97175,-20.894062,-14.244215,-6.199413
286,SDSS-II SN 16977,8.264077,-5.17361,-16.308231,-11.302889,-12.593981
287,SDSS-II SN 17219,-11.03102,1.6854398,5.16022,10.1902485,-22.31509
288,SDSS-II SN 17303,5.87102,-4.647368,-15.718844,9.813637,-11.252198
289,SDSS-II SN 17330,-12.441084,-4.716853,-6.080425,4.5935082,-13.429112
290,SDSS-II SN 17396,11.265978,-21.480017,13.236657,4.160984,22.476637
291,SDSS-II SN 17422,-0.8712608,-5.8423247,-17.495237,12.412209,-23.351442
292,SDSS-II SN 17465,-10.226758,0.207285,-6.968993,-16.274364,-19.471214
293,SDSS-II SN 17466,22.55284,-17.185993,4.7185674,4.1589475,12.698342
294,SDSS-II SN 1750,5.4366794,-25.169493,11.465191,8.933814,5.520175
295,SDSS-II SN 17508,-1.6866816,-16.680681,7.4585843,3.4269977,-11.2492485
296,SDSS-II SN 17539,1.5006742,3.0607517,-24.565884,-12.268738,-13.724951
297,SDSS-II SN 17542,-2.7492957,-3.7489626,14.295789,9.667979,-18.285408
298,SDSS-II SN 17620,16.67513,-12.756699,7.6906238,4.14295,12.622255
299,SDSS-II SN 17662,-13.788094,2.605584,-22.035032,1.0788119,-7.717877
300,SDSS-II SN 17667,-0.12508585,-12.871192,4.9408956,23.405483,-4.312977
301,SDSS-II SN 17682,-1.6629287,-14.291998,16.543175,3.4297469,-4.0488687
302,SDSS-II SN 17729,-17.554672,-0.7923386,-20.577747,7.725737,-2.6589298
303,SDSS-II SN 1773,20.645876,-15.439208,14.368395,-1.2426523,15.952686
304,SDSS-II SN 17748,-22.031734,-3.0168345,-3.658478,5.833144,-18.92442
305,SDSS-II SN 17789,-9.348057,-8.43272,-14.560411,-16.299913,-14.723045
306,SDSS-II SN 17816,6.265869,-5.6685843,8.53448,-10.132418,-10.059017
307,SDSS-II SN 17853,-6.48959,-13.649075,-6.103406,-20.214039,-0.958186
308,SDSS-II SN 17894,-5.8549113,-11.834513,-12.084855,-3.7531388,-0.7520511
309,SDSS-II SN 17906,-17.912657,-10.720425,-19.951208,0.44182074,-7.732759
310,SDSS-II SN 17928,2.360221,-24.679396,-15.101676,-7.0838785,2.7832158
311,SDSS-II SN 17952,-7.510179,-29.87043,-4.9434843,13.423607,-8.759916
312,SDSS-II SN 17997,-4.046447,-18.219097,-5.292664,-2.0030818,21.05277
313,SDSS-II SN 18058,7.217794,-14.624619,-9.5849085,-2.2285233,-3.1709058
314,SDSS-II SN 18067,-7.4193377,-24.090754,-10.930613,-7.926464,-13.915301
315,SDSS-II SN 18075,11.732766,-2.4340262,-6.8081756,-9.060358,-10.01766
316,SDSS-II SN 18077,-11.484836,-6.7230134,-28.38948,2.4005544,-1.4776319
317,SDSS-II SN 18101,14.499819,-1.9847034,-11.693955,4.6732993,-3.6893008
318,SDSS-II SN 1821,12.562906,-18.020304,11.67864,-2.2739162,9.214776
319,SDSS-II SN 18226,-9.749227,-13.531596,-13.115098,1.7779102,-13.83073
320,SDSS-II SN 18243,1.7278217,-27.257038,5.110305,3.3855891,-13.02261
321,SDSS-II SN 18253,-21.087395,-11.118154,-14.60408,-4.034411,10.590326
322,SDSS-II SN 18273,5.428379,-21.488003,2.0380452,17.977669,0.4774958
323,SDSS-II SN 18276,1.4429511,-20.425531,9.220696,-8.923241,-2.3397474
324,SDSS-II SN 18301,-5.686533,-22.74396,5.9661856,-8.128938,11.029412
325,SDSS-II SN 18331,21.254732,-5.90285,-9.545473,0.8302469,-10.704227
326,SDSS-II SN 18376,-2.1140668,-3.5914357,-8.16332,-14.487802,-18.008343
