,SN,0,1
495,SN2006go,-14.253769,1.690506
496,SN2006gp,-18.877726,-2.944331
497,SN2006gu,1.0296609,15.117176
498,SN2006hj,-0.77206504,21.987307
499,SN2006hk,0.74181867,21.651842
500,SN2006hm,-24.612555,7.929928
501,SN2006hw,4.2248178,22.923698
502,SN2006jg,-6.380316,1.0368952
503,SN2006jz,-3.8843634,18.453392
504,SN2006kd,-10.1852,19.35224
505,SN2006ks,-18.847315,8.350799
506,SN2006ll,-15.601807,5.7155766
507,SN2006lq,-18.526197,7.6181636
508,SN2006mz,-17.154829,17.997072
509,SN2006nc,10.895636,21.475367
510,SN2006np,6.3181524,21.44817
511,SN2006nt,-3.613899,19.44598
512,SN2006nw,9.222747,21.466423
513,SN2006op,-10.399458,11.458213
514,SN2006oz,9.897131,16.174118
515,SN2006ph,-3.356169,18.17062
516,SN2006pj,-9.7557535,14.458742
517,SN2006pm,-4.4476104,17.946226
518,SN2006pn,1.1160562,17.0908
519,SN2006po,-9.485458,5.100143
520,SN2006pr,10.946443,19.484764
521,SN2006pu,9.41972,15.488996
522,SN2006qd,-7.7377934,13.038206
523,SN2006qh,-8.311587,12.429181
524,SN2006sw,5.5753837,20.421953
525,SN2006sx,-7.7375298,15.208593
526,SN2007fr,-7.2699175,-3.0706232
527,SN2007gl,-17.603872,-7.6374116
528,SN2007hy,-8.799943,14.616641
529,SN2007jb,-8.719533,9.5096445
530,SN2007jj,0.60591125,20.481018
531,SN2007jv,11.786942,16.094181
532,SN2007kb,-4.8291593,15.188003
533,SN2007kp,1.7606387,21.118103
534,SN2007la,7.3407674,20.99993
535,SN2007lf,-23.441698,2.2496016
536,SN2007lm,-10.609022,13.19131
537,SN2007ls,1.9846966,17.458786
538,SN2007lu,-3.795848,23.498709
539,SN2007mf,1.6983701,16.159878
540,SN2007mg,3.5456157,21.06311
541,SN2007mu,-17.325329,15.082509
542,SN2007nx,8.756562,12.487106
543,SN2007oa,-16.21053,14.500466
544,SN2007oy,-22.06436,6.3235803
545,SN2007pf,12.351925,20.032343
546,SN2007pg,12.380053,19.22999
547,SN2007pr,-21.16208,1.2221689
548,SN2007ps,-12.869691,16.760035
549,SN2007py,-19.18226,4.2447033
550,SN2007qa,9.710192,20.58757
551,SN2007qd,8.876919,16.254276
552,SN2007qj,0.9359016,19.058691
553,SN2007qs,-0.15822704,21.211954
554,SN2007qu,4.4518127,22.311031
555,SN2007rg,-11.826594,17.800762
556,SN2007rn,-2.3333435,15.069826
557,SN2007rq,-6.599361,16.114813
558,SN2007sl,10.848404,18.175768
559,SN2007tt,-21.015078,5.8337636
560,SDSS-II SN 10480,-25.279716,0.5330843
561,SDSS-II SN 13147,-26.583923,-4.120871
562,SDSS-II SN 13483,-9.209319,2.9604874
563,SDSS-II SN 13820,-11.537558,21.38606
564,SDSS-II SN 1385,-3.399098,13.088123
565,SDSS-II SN 13991,-6.3346276,-2.130905
566,SDSS-II SN 14121,1.2519542,10.7825775
567,SDSS-II SN 14262,0.322594,9.7209425
568,SDSS-II SN 14415,-7.1956186,2.8379672
569,SDSS-II SN 14635,-4.798387,13.334071
570,SDSS-II SN 14833,-4.3098707,5.614454
571,SDSS-II SN 15268,-4.322718,11.334805
572,SDSS-II SN 15358,0.44405556,3.0144384
573,SDSS-II SN 15360,-3.1382852,4.751766
574,SDSS-II SN 15418,-13.300099,-4.807304
575,SDSS-II SN 15814,-14.648813,10.385756
576,SDSS-II SN 16103,-7.1509805,16.13111
