,SN,0,1,2
421,SDSS-II SN 3983,-38.18237,-36.89119,-66.57598
422,SDSS-II SN 4019,-24.044655,-14.863336,-58.068455
423,SDSS-II SN 4044,-64.20259,-16.544596,33.184204
424,SDSS-II SN 4104,-11.262383,30.403048,-57.326015
425,SDSS-II SN 4129,37.791286,-50.677036,-35.387966
426,SDSS-II SN 4181,-47.472862,-0.3279019,-48.59573
427,SDSS-II SN 4307,-30.766842,12.838597,-81.10499
428,SDSS-II SN 4330,-56.575077,-9.565962,-2.3455205
429,SDSS-II SN 4375,45.28017,-4.5757174,-51.054813
430,SDSS-II SN 4534,-46.88782,-34.580807,15.275481
431,SDSS-II SN 4606,-24.19133,-20.793135,-5.973479
432,SDSS-II SN 4888,-25.059752,-3.624258,4.313703
433,SDSS-II SN 4906,-0.8860732,21.150955,-57.185524
434,SDSS-II SN 4907,14.183262,-31.69234,-43.040073
435,SDSS-II SN 4966,-50.610706,-12.017633,-71.12921
436,SDSS-II SN 4978,-34.8157,-52.841583,-19.102888
437,SDSS-II SN 5001,-0.26684776,38.153614,-22.865234
438,SDSS-II SN 5235,20.047764,-41.0768,-49.047745
439,SDSS-II SN 5401,-141.49963,51.93515,107.367905
440,SDSS-II SN 5468,50.354755,-38.04682,-54.28814
441,SDSS-II SN 5498,3.6470122,-44.75928,-18.541693
442,SDSS-II SN 5590,3.975642,-62.82794,-43.2722
443,SDSS-II SN 5607,13.09824,-20.708061,-21.928297
444,SDSS-II SN 5810,35.00513,-34.303474,-17.992786
445,SDSS-II SN 5890,-2.0681374,40.697105,-73.09666
446,SDSS-II SN 5959,2.8801637,5.2100973,-86.477905
447,SDSS-II SN 5963,-30.883198,-28.41725,-65.99796
448,SDSS-II SN 6055,-17.275389,16.653635,-88.61099
449,SDSS-II SN 6289,-35.241085,-11.872442,-14.010176
450,SDSS-II SN 6327,1.1609089,25.881653,-45.064957
451,SDSS-II SN 6556,-65.41897,-45.732315,-15.477391
452,SDSS-II SN 6560,-20.578003,-27.312927,-61.667336
453,SDSS-II SN 6618,-66.84179,-23.50374,-35.944798
