0,1,2,3,4,5,6,7,8,9
SDSS-II SN 13849 (g'r'i'),1.5482756,1.176611,-1.8473338,0.8723321,0.4480679,-1.293064,-1.2830728,-2.5774188,1.3363768
SDSS-II SN 1385 (g'r'i'),0.41468927,-0.92400926,-0.8949389,0.9940943,0.83122736,-0.90517485,-0.99127394,-2.1836863,0.21383993
SDSS-II SN 13859 (g'r'i'),-1.0370841,-0.5709434,0.10697804,-0.43356442,-0.38485512,-0.16760433,1.4433697,-0.5207595,1.5998775
SDSS-II SN 13861 (g'r'i'),1.3165354,0.42762884,-0.9501041,0.007307899,0.3733273,-1.9167649,-0.4630455,-1.8630662,2.4406269
SDSS-II SN 13862 (g'r'i'),-0.06063993,-2.5999086,0.16747536,-0.9958839,-0.18641087,-0.8689255,0.20898919,-1.3612955,0.13971622
SDSS-II SN 13864 (g'r'i'),0.8637867,0.24371327,-1.0831888,-1.009528,-0.3195812,-1.0292252,0.20366818,-0.18218458,2.2266223
SDSS-II SN 13868 (g'r'i'),-1.1652621,-4.388045,1.3906739,0.8035152,1.5704259,-0.8300976,0.78662425,1.0735254,-1.3798094
SDSS-II SN 13896 (g'r'i'),-0.6334433,-0.054628577,0.4179386,-0.20694715,-0.19080605,1.471281,1.1411588,2.1230628,-0.118576154
SDSS-II SN 13903 (g'r'i'),1.3186772,0.26200813,-0.92612195,-0.36384562,0.21436541,-1.8335569,-0.27135295,-1.5024914,2.5410252
SDSS-II SN 13909 (g'r'i'),-1.045308,-0.7797463,2.0227008,0.79943776,-0.599257,1.6390301,0.18479334,0.808329,0.16462156
SDSS-II SN 13931 (g'r'i'),-0.051305152,-0.49016923,-0.7800113,0.6703507,1.194974,-1.034826,-1.6387347,-2.1005938,-0.45358288
SDSS-II SN 13932 (g'r'i'),-1.3160152,-1.2710518,1.9356307,-0.692016,-0.021531146,0.94816905,-0.17322901,1.9767627,-2.1943905
SDSS-II SN 13946 (g'r'i'),-1.0293742,0.6335805,0.2770835,-0.8854256,0.48204866,0.7311218,1.6749985,0.67745334,-0.6414211
SDSS-II SN 1395 (g'r'i'),0.4436455,-1.0883878,-1.606632,1.8787417,0.4811835,-0.701109,-0.52409697,-1.5569309,-0.5906875
SDSS-II SN 13968 (g'r'i'),-3.4239986,-3.7659085,2.3976295,0.82594925,0.755873,0.2798363,0.43689567,2.3535278,-1.1467047
SDSS-II SN 13971 (g'r'i'),0.72046363,-2.3873374,-0.43284693,0.39158475,-0.3223983,-1.0731745,0.32079083,-1.5225985,0.5987443
SDSS-II SN 14013 (g'r'i'),1.683191,0.95085835,0.25767824,1.4362537,1.0600326,-1.895632,0.02729632,-1.7088941,1.9068158
SDSS-II SN 14015 (g'r'i'),0.5707578,-0.22588348,-0.7962163,0.11578678,0.44410345,-1.5540035,-0.7939512,-2.2820146,1.8438957
SDSS-II SN 14053 (g'r'i'),-3.2989635,-4.165521,2.3016512,0.7005768,0.21190335,0.07375132,0.19921565,2.4194298,-1.7454396
SDSS-II SN 14054 (g'r'i'),-0.8513744,-4.3983054,1.3299698,-0.09487957,-0.035418775,-1.1268928,-0.34896854,0.8174028,-2.5422845
SDSS-II SN 14074 (g'r'i'),0.9685982,0.4151224,-0.70075494,-1.2313652,0.108412966,-1.1722114,0.045704503,-0.4278372,2.3905725
SDSS-II SN 14081 (g'r'i'),-2.1469753,-5.1274066,1.8176421,-0.012441226,-0.38498598,-1.3271003,-0.6566318,1.4814863,-2.9878755
SDSS-II SN 14085 (g'r'i'),-1.588614,-4.2333355,2.0564334,-0.60159844,1.13977,-1.706839,-1.056344,0.56023043,-2.3732479
SDSS-II SN 1409 (g'r'i'),-3.0689316,-4.838143,2.432112,0.40898502,-0.06597792,-0.4034371,-0.8766424,2.0456085,-2.1846247
SDSS-II SN 14102 (g'r'i'),-0.93879163,-1.8881156,0.5077183,-1.3220397,0.06466119,-0.5113041,0.39419404,-1.2393448,0.26499632
SDSS-II SN 14113 (g'r'i'),1.1607553,2.6667309,-1.5376171,-0.60883,0.7039246,-1.0821148,-1.5676808,-2.3746667,1.7627361
SDSS-II SN 14170 (g'r'i'),-0.90876746,-4.344896,1.036211,-0.061162133,-1.4950005,-1.6031796,-1.6575025,-0.41527197,-1.8752693
SDSS-II SN 14205 (g'r'i'),0.7881195,-0.90104043,-0.82101923,1.175472,-0.5171956,-1.4409142,0.86749595,-1.69684,1.9667455
SDSS-II SN 14209 (g'r'i'),-0.90988815,-2.0277598,1.766833,-0.022340614,0.47998992,0.72369003,-0.064067796,1.7833002,-2.114647
SDSS-II SN 14231 (g'r'i'),-0.5046119,0.9312981,0.64296514,-0.22404766,-0.12855412,1.8203546,0.73392457,2.1382847,0.23809204
SDSS-II SN 14232 (g'r'i'),-1.4973093,-2.0981688,2.1243243,-0.9407153,0.212861,0.7420744,-0.10097387,2.31038,-2.7242885
SDSS-II SN 14251 (g'r'i'),-0.4657125,-3.2917023,0.784955,-0.5114576,1.1906039,-0.9563387,0.79589295,-0.6153583,-1.3896815
SDSS-II SN 14258 (g'r'i'),1.6372143,1.3525871,-0.4354929,-1.1678851,0.48958454,-1.4622065,0.10042317,-0.46038058,2.4872396
SDSS-II SN 14260 (g'r'i'),-1.8706294,-1.4183328,3.6437364,0.36755002,-0.7043778,1.1590136,-1.0226953,-0.5634794,-0.3639891
SDSS-II SN 14262 (g'r'i'),-2.1735108,-5.2658057,1.9506652,-0.062216666,-1.1345156,-0.8439602,-0.16691962,2.041762,-3.3525527
SDSS-II SN 14268 (g'r'i'),0.55309063,-2.4757962,-0.6691683,0.4317885,-0.72587043,-0.80034477,0.47351393,-1.2479948,0.34982353
SDSS-II SN 14285 (g'r'i'),-3.037602,-3.6763139,2.3653734,0.7021376,1.0491606,0.0108809555,0.046537712,1.7803619,-0.99194306
SDSS-II SN 14304 (g'r'i'),-1.2492213,0.26768452,1.6160365,-0.044778913,-0.25671327,1.1998905,0.062164072,-0.28680527,1.195355
SDSS-II SN 14305 (g'r'i'),-1.1064354,0.46864054,0.4497915,-0.101893045,0.28551152,0.6616735,0.8397579,0.49725702,1.4235617
SDSS-II SN 14308 (g'r'i'),1.020644,1.0413692,-2.356513,-0.45949167,-1.525367,-0.45730332,0.74298245,0.40600806,1.4736601
SDSS-II SN 14309 (g'r'i'),-1.2497811,-0.84037834,1.8998444,-0.6414761,-0.17418265,1.0736755,-0.22723459,1.8792982,-2.0060437
SDSS-II SN 14310 (g'r'i'),-0.55159897,-0.25661376,0.84408194,0.23723209,1.2384588,-1.0150323,0.48385453,-1.6281192,1.8516566
SDSS-II SN 14311 (g'r'i'),2.7780037,3.0052505,-0.38632303,0.38895664,1.0466787,-0.95697653,-0.60242265,-1.8641115,1.6468108
SDSS-II SN 14322 (g'r'i'),0.110540085,0.84707177,0.032202452,0.6350186,0.75831556,-1.595243,-0.07793699,-1.9255804,2.0638506
SDSS-II SN 14329 (g'r'i'),-1.104536,-1.9279579,1.909488,-0.15425715,0.4942232,0.77956647,-0.114173695,1.8279153,-2.0583766
SDSS-II SN 14332 (g'r'i'),-1.8810058,-4.9348855,1.6136204,0.46687117,-0.50414544,-1.065988,-0.6552352,1.4047308,-2.7230074
SDSS-II SN 14334 (g'r'i'),-0.48122853,-0.5263927,0.19051227,-1.6571611,-0.58956176,0.92350876,0.68851995,2.1180718,-1.3620714
SDSS-II SN 14335 (g'r'i'),-2.6911104,-3.877158,2.5511103,0.18484573,0.7879455,-0.40042228,-1.1510121,1.2058805,-1.4558606
SDSS-II SN 14343 (g'r'i'),-1.0093777,-0.2205885,1.0258552,-0.6269395,-0.15309717,0.9542601,1.3031471,0.4722121,0.63660467
SDSS-II SN 14347 (g'r'i'),-0.6531745,-1.3587476,2.0487802,0.80635446,0.34218878,1.1117818,-0.4710582,0.9436486,-0.5053854
SDSS-II SN 14355 (g'r'i'),1.2990625,-0.88777065,-1.6596527,1.701282,0.04766547,-0.996137,-0.5277157,-2.121559,0.2044867
SDSS-II SN 14357 (g'r'i'),1.5686164,0.38505134,0.23602335,-0.76653606,0.940569,-1.6325538,-0.056564964,-1.5301017,2.3519688
SDSS-II SN 14361 (g'r'i'),-0.0269168,-2.2899811,0.4180566,-0.97344875,0.2689207,-0.98199266,-0.0012653389,-1.6836084,0.6419173
SDSS-II SN 14375 (g'r'i'),-0.91700137,-0.93834525,0.17677625,-0.6799922,0.36176965,-0.5446605,0.3798205,-1.1596602,1.8641026
SDSS-II SN 14400 (g'r'i'),-1.530038,-4.037117,1.0594907,0.8190272,1.2316024,-1.2796929,0.16606401,0.34090385,-1.3913966
