,SN,0,1,2,3,4,5,6,7
148,SDSS-II SN 16468,-5.621466,-0.5783455,-3.974546,-0.5891136,5.2898173,-2.5707233,-4.655273,-11.79504
149,SDSS-II SN 17814,-7.0290375,4.434572,-10.518674,-2.7326896,-1.3412207,-1.3658401,-0.18372086,-1.6109344
150,SDSS-II SN 17967,2.1826172,1.5244838,-13.454785,4.23846,-0.48078573,0.061343387,2.3772948,0.769919
151,SDSS-II SN 19032,-1.82576,-1.7831728,-4.25561,4.950032,3.3331392,9.590829,-3.1319275,-12.801235
152,SDSS-II SN 19347,0.341145,2.016058,-3.7153409,13.232839,-0.06485065,-8.828427,5.5341625,-8.154611
153,SDSS-II SN 20278,-0.101800986,-5.9695663,-2.7188497,10.246317,5.5144887,-6.0691557,-2.1995287,0.72374874
154,SDSS-II SN 7882,-1.374495,-2.8673017,2.8710954,9.042162,-7.09578,-2.508541,3.8247504,-3.7692966
155,SN2005hp,-1.4011364,4.2800198,0.90271175,9.462199,-7.2482667,2.414432,3.58931,0.33655477
156,SN2006fk,0.8959595,9.85761,-3.425963,1.3563071,1.9277042,-11.525536,3.4240863,-4.62037
157,SN2006gw,-1.2883515,1.4304502,-6.510624,-1.8980999,-10.655888,-2.5072482,2.5506527,-6.8392878
158,SN2006la,0.6634219,7.672349,-0.3773298,11.683303,-7.9297385,-4.0145802,8.647794,0.38517833
159,SN2006pk,-7.9622884,1.7370716,-0.5632723,3.3496873,4.3517985,-5.3259106,7.9673395,4.0454965
160,SN2007ik,-6.057453,10.002078,-0.56605333,7.9050136,-0.026387678,-8.318933,8.30679,4.5287433
161,SN2007iz,-0.6956151,-4.541987,-2.7634544,3.097135,-10.6034775,-2.1858394,5.0075226,-9.631285
162,SN2007jn,-3.168561,4.4929266,-7.178497,-2.265162,0.5771945,-1.7418233,-4.585224,-8.664383
163,SDSS-II SN 10991,-6.547497,-1.6029303,-6.1945033,0.8851184,1.1501925,-1.5663644,-12.442935,-7.8845906
164,SDSS-II SN 13633,-1.0782478,-6.442597,3.4220066,7.790157,4.237006,-1.8953874,-3.5389235,0.043036554
165,SDSS-II SN 14413,-7.730165,2.9314075,-5.765009,-0.2124895,-2.7106097,-7.809934,2.633902,8.705411
166,SDSS-II SN 14475,2.1594427,-3.618054,-10.977823,4.735126,6.0335917,6.5708675,-1.1685761,-7.1133986
167,SDSS-II SN 14531,-4.0877376,-1.9580171,1.4744626,10.419315,8.052232,1.3344035,-0.6263456,-0.38807705
168,SDSS-II SN 15184,-1.855184,-1.384448,-3.3454409,3.3775322,-1.4659704,1.8336188,-2.6960778,3.5122492
169,SDSS-II SN 17851,-1.5772022,-7.6361146,-3.337066,6.032206,4.779612,3.9781728,0.7723815,-12.154834
170,SDSS-II SN 20045,-1.0488902,-3.1537971,-5.3582973,0.59995663,-1.2131449,3.570398,-6.949065,-10.488566
171,SDSS-II SN 6333,-6.516206,-3.7869744,-3.503277,5.096035,-7.0896034,0.63310796,-6.0780582,-11.319905
172,SDSS-II SN 6696,2.1051602,-1.383246,-5.9385586,10.49717,-2.4428623,-2.8014233,0.106228605,-12.167529
173,SN2005ey,-1.6516724,3.118409,-3.8211164,1.1814224,-2.0407052,-5.2061744,9.1938305,11.70204
174,SN2005ff,-4.7786183,1.0123217,0.16642736,11.627916,-0.71480405,-4.068684,10.165878,4.1933513
175,SN2005fi,-8.44149,2.0217216,-0.25561574,12.6516075,-6.6988187,-6.888663,0.54053867,-1.1048086
176,SN2005fu,-1.9438735,10.049781,-4.0833893,6.221893,3.1738153,-1.1086329,8.685684,4.7485604
177,SN2005fz,-0.06147561,1.3809826,4.398283,14.448109,-2.7861047,0.88579184,-1.7785535,-0.475155
