Name,g',r',i',claimedtype,redshift,alias,spectrum_count,in_anderson,in_cccp,in_pantheon,in_sanders,spec_class
SDSS-II SN 14196,13,11,3,II,,SDSS-II SN 14196,0,0,0,0,0,0
SDSS-II SN 14205,5,5,6,Ia,0.253653,SDSS-II SN 14205,0,0,0,0,0,0
SDSS-II SN 14209,10,14,17,II,,SDSS-II SN 14209,0,0,0,0,0,0
SDSS-II SN 14211,14,13,5,II,,SDSS-II SN 14211,0,0,0,0,0,0
SDSS-II SN 14216,8,9,3,II,,SDSS-II SN 14216,0,0,0,0,0,0
SDSS-II SN 14228,5,4,6,II,0.281205,SDSS-II SN 14228,0,0,0,0,0,0
SDSS-II SN 14231,7,9,10,Ia;Ia,0.162;0.129,SDSS-II SN 14231,0,0,0,0,0,0
SDSS-II SN 14232,17,18,18,II,,SDSS-II SN 14232,0,0,0,0,0,0
SDSS-II SN 14251,4,7,8,II,,SDSS-II SN 14251,0,0,0,0,0,0
SDSS-II SN 14252,9,6,12,II,,SDSS-II SN 14252,0,0,0,0,0,0
SDSS-II SN 14258,6,9,6,Ia,0.615;0.687,SDSS-II SN 14258,0,0,0,0,0,0
SDSS-II SN 14260,3,4,8,Ia,0.3667,SDSS-II SN 14260,0,0,0,0,0,0
SDSS-II SN 14262,18,15,3,II,,SDSS-II SN 14262,0,0,0,0,0,0
SDSS-II SN 14268,8,9,8,Ia;Ia,0.259;0.216,SDSS-II SN 14268,0,0,0,0,0,0
SDSS-II SN 14285,5,15,15,II,,SDSS-II SN 14285,0,0,0,0,0,0
SDSS-II SN 14304,7,8,8,Ia;Ia,0.322;0.315;0.276,SDSS-II SN 14304,0,0,0,0,0,0
SDSS-II SN 14305,8,10,9,Ia;Ia,0.307;0.271,SDSS-II SN 14305,0,0,0,0,0,0
SDSS-II SN 14308,7,6,4,Ia,,SDSS-II SN 14308,0,0,0,0,0,0
SDSS-II SN 14309,7,6,7,II,,SDSS-II SN 14309,0,0,0,0,0,0
SDSS-II SN 14310,4,9,5,II,,SDSS-II SN 14310,0,0,0,0,0,0
SDSS-II SN 14311,3,6,3,Ia,0.336024,SDSS-II SN 14311,0,0,0,0,0,0
SDSS-II SN 14314,17,16,12,II,,SDSS-II SN 14314,0,0,0,0,0,0
SDSS-II SN 14322,4,7,5,Ia;Ia,0.377;0.339;0.297,SDSS-II SN 14322,0,0,0,0,0,0
SDSS-II SN 14329,6,10,8,II,0.162408,SDSS-II SN 14329,0,0,0,0,0,0
SDSS-II SN 14332,8,7,4,II,,SDSS-II SN 14332,0,0,0,0,0,0
SDSS-II SN 14334,7,10,5,II,,SDSS-II SN 14334,0,0,0,0,0,0
SDSS-II SN 14335,3,8,9,II,,SDSS-II SN 14335,0,0,0,0,0,0
SDSS-II SN 14343,11,10,10,Ia;Ia,0.343052,SDSS-II SN 14343,0,0,0,0,0,0
SDSS-II SN 14347,8,10,11,Ia;Ia,0.296;0.298;0.263,SDSS-II SN 14347,0,0,0,0,0,0
SDSS-II SN 14353,13,10,8,II,,SDSS-II SN 14353,0,0,0,0,0,0
SDSS-II SN 14355,8,8,3,II,,SDSS-II SN 14355,0,0,0,0,0,0
SDSS-II SN 14357,3,8,4,Ia;Ia,0.414;0.471;0.395,SDSS-II SN 14357,0,0,0,0,0,0
SDSS-II SN 14361,4,8,5,Ia;Ia,0.375;0.326,SDSS-II SN 14361,0,0,0,0,0,0
SDSS-II SN 14375,8,7,10,Ia,0.323264,SDSS-II SN 14375,0,0,0,0,0,0
SDSS-II SN 14400,6,8,9,II,,SDSS-II SN 14400,0,0,0,0,0,0
SDSS-II SN 14408,12,8,3,II,,SDSS-II SN 14408,0,0,0,0,0,0
SDSS-II SN 14413,14,14,5,II,,SDSS-II SN 14413,0,0,0,0,0,0
SDSS-II SN 14415,9,13,7,II,0.159431,SDSS-II SN 14415,0,0,0,0,0,0
SDSS-II SN 14426,15,10,3,II,,SDSS-II SN 14426,0,0,0,0,0,0
SDSS-II SN 14429,3,3,3,Ia,,SDSS-II SN 14429,0,0,0,0,0,0
SDSS-II SN 14438,9,10,12,Ia;Ia,0.297526,SDSS-II SN 14438,0,0,0,0,0,0
SDSS-II SN 14444,8,7,5,Ia;Ia,0.245916,SDSS-II SN 14444,0,0,0,0,0,0
SDSS-II SN 14452,6,7,5,Ia,,SDSS-II SN 14452,0,0,0,0,0,0
SDSS-II SN 14453,4,8,7,Ia;Ia,0.349;0.208,SDSS-II SN 14453,0,0,0,0,0,0
